vehicleVIN,sc,flow code,AV Ratio,Detection Range,lane,type,arrival time,L,maxAcc,maxDec,dest,curSpd,desSpd,dist,count,total count,green phase,departure time
1000,1,1,0,92,1,1,0.7,4.8,2,-6,2,8.7193,8.94,59,1,1,4,112.02
1001,1,1,0,92,3,1,2.9,4.8,2,-6,2,8.3445,8.94,190,1,2,4,56.02
1002,1,1,0,92,5,1,3.98,4.8,2,-6,2,9.0037,8.94,156,2,3,4,116.14
1003,1,1,0,92,7,1,6.32,4.8,2,-6,2,7.617,8.94,50,1,4,4,112.06
1004,1,1,0,92,5,1,8.6,4.8,2,-6,2,8.9673,8.94,156,1,5,4,39.32
1005,1,1,0,92,3,1,9.78,4.8,2,-6,2,8.683,8.94,190,2,6,4,60.08
1006,1,1,0,92,1,1,11.84,4.8,2,-6,2,8.3907,8.94,59,2,7,4,41.98
1007,1,1,0,92,7,1,14.16,4.8,2,-6,2,8.7086,8.94,50,1,8,4,56.04
1008,1,1,0,92,1,1,16.3,4.8,2,-6,2,7.7973,8.94,59,1,9,4,41.38
1009,1,1,0,92,5,1,16.88,4.8,2,-6,2,7.5569,8.94,156,1,10,4,84.04
