name,latitude,longitude
Lane_5,29.6485342,-82.3496795
Lane_5,29.6485191,-82.3496795
Lane_5,29.6485039,-82.3496795
Lane_5,29.648483,-82.3496768
Lane_5,29.6484643,-82.3496768
Lane_5,29.6484363,-82.3496768
Lane_5,29.648413,-82.3496781
Lane_5,29.6483885,-82.3496755
Lane_5,29.6483617,-82.3496795
Lane_5,29.6483396,-82.3496768
Lane_5,29.6483209,-82.3496778
Lane_5,29.6483081,-82.3496792
Lane_5,29.6482883,-82.3496805
Lane_5,29.6482755,-82.3496792
Lane_5,29.6482522,-82.3496778
Lane_5,29.6482382,-82.3496792
Lane_5,29.6482207,-82.3496792
Lane_5,29.6481904,-82.3496805
Lane_5,29.6481708,-82.3496826
Lane_5,29.6481487,-82.3496813
Lane_5,29.648123,-82.3496799
Lane_5,29.6481032,-82.3496786
Lane_5,29.6480869,-82.3496786
Lane_5,29.6480648,-82.3496799
Lane_5,29.6480415,-82.3496799
Lane_5,29.6480205,-82.3496813
Lane_5,29.6479995,-82.3496839
Lane_5,29.6479773,-82.3496839
Lane_5,29.6479529,-82.3496853
Lane_5,29.6479296,-82.3496839
Lane_5,29.6479051,-82.3496853
Lane_5,29.6478876,-82.3496839
Lane_5,29.6478596,-82.3496839
Lane_5,29.6478305,-82.3496853
Lane_5,29.6478048,-82.3496866
Lane_5,29.6477872,-82.3496858
Lane_5,29.6477662,-82.3496872
Lane_5,29.6477499,-82.3496872
Lane_5,29.6477313,-82.3496872
Lane_5,29.6477164,-82.3496853
Lane_5,29.6476989,-82.3496853
Lane_5,29.6476803,-82.3496853
Lane_5,29.6476534,-82.3496853
Lane_5,29.6476313,-82.3496853
Lane_5,29.647615,-82.3496893
Lane_5,29.6475963,-82.3496867
Lane_5,29.6475707,-82.3496867
Lane_5,29.6475487,-82.3496885
Lane_5,29.6475289,-82.3496872
Lane_5,29.6475102,-82.3496898
Lane_5,29.6474893,-82.3496885
Lane_5,29.6474659,-82.3496885
Lane_5,29.647452,-82.3496872
Lane_5,29.6474368,-82.3496845
Lane_5,29.6474158,-82.3496858
Lane_5,29.6473983,-82.3496885
Lane_5,29.6473774,-82.3496872
Lane_5,29.6473587,-82.3496858
Lane_5,29.6473377,-82.3496858
Lane_5,29.6473214,-82.3496885
Lane_5,29.6473016,-82.3496885
Lane_5,29.6472795,-82.3496912
Lane_5,29.6472608,-82.3496885
Lane_5,29.6472433,-82.3496885
Lane_5,29.6472258,-82.3496845
Lane_5,29.6472072,-82.3496885
Lane_5,29.647192,-82.3496845
Lane_5,29.6471757,-82.3496885
Lane_5,29.6471501,-82.3496885
Lane_0,29.6485307,-82.3497251
Lane_0,29.6485132,-82.3497224
Lane_0,29.6484887,-82.3497198
Lane_0,29.6484642,-82.3497157
Lane_0,29.6484468,-82.3497198
Lane_0,29.6484211,-82.3497184
Lane_0,29.6483885,-82.3497144
Lane_0,29.6483559,-82.3497171
Lane_0,29.6483255,-82.3497131
Lane_0,29.6482987,-82.3497144
Lane_0,29.6482754,-82.3497117
Lane_0,29.6482638,-82.349709
Lane_0,29.6482416,-82.3497104
Lane_0,29.648181,-82.3497104
Lane_1,29.6487541,-82.3497645
Lane_1,29.6487949,-82.3497631
Lane_1,29.6488439,-82.3497578
Lane_1,29.6488905,-82.3497564
Lane_1,29.6489371,-82.3497578
Lane_1,29.6489826,-82.3497604
Lane_1,29.6490234,-82.3497752
Lane_1,29.6490595,-82.349794
Lane_1,29.6490956,-82.3498101
Lane_1,29.6491283,-82.3498221
Lane_1,29.6491644,-82.3498369
Lane_1,29.6492028,-82.3498557
Lane_1,29.6492541,-82.3498852
Lane_4,29.6487954,-82.3497248
Lane_4,29.6488408,-82.3497261
Lane_4,29.6488828,-82.3497301
Lane_4,29.6489632,-82.3497328
Lane_7,29.6486113,-82.3498656
Lane_7,29.6486089,-82.3498937
Lane_7,29.6486043,-82.3499313
Lane_7,29.6486031,-82.3499675
Lane_7,29.6486043,-82.3500077
Lane_2,29.6486482,-82.3498698
Lane_2,29.6486451,-82.3498964
Lane_2,29.6486451,-82.3499232
Lane_2,29.6486451,-82.3499554
Lane_2,29.6486451,-82.3499809
Lane_3,29.6486777,-82.3496014
Lane_3,29.6486777,-82.3495678
Lane_3,29.6486727,-82.3495245
Lane_3,29.6486754,-82.3494914
Lane_3,29.6486742,-82.3494565
Lane_3,29.6486719,-82.349423
Lane_3,29.648673,-82.3493868
Lane_3,29.6486742,-82.3493452
Lane_3,29.648676,-82.3493115
Lane_3,29.6486725,-82.3492686
Lane_3,29.6486725,-82.349227
Lane_3,29.6486725,-82.3491868
Lane_3,29.6486725,-82.3491532
Lane_3,29.6486725,-82.3491143
Lane_3,29.6486702,-82.3490741
Lane_3,29.648669,-82.3490339
Lane_3,29.6486679,-82.3489923
Lane_3,29.6486714,-82.3489534
Lane_3,29.6486714,-82.3489096
Lane_3,29.6486714,-82.3488693
Lane_3,29.6486725,-82.3488251
Lane_3,29.6486749,-82.3487889
Lane_3,29.6486702,-82.3487433
Lane_3,29.6486702,-82.3487004
Lane_3,29.6486714,-82.3486628
Lane_3,29.648669,-82.3486266
Lane_3,29.6486702,-82.3485917
Lane_3,29.6486667,-82.3485569
Lane_3,29.6486655,-82.3485166
Lane_3,29.6486609,-82.3484818
Lane_3,29.6486632,-82.3484413
Lane_3,29.648662,-82.348401
Lane_3,29.6486644,-82.3483595
Lane_3,29.648662,-82.3483152
Lane_3,29.6486597,-82.348271
Lane_3,29.648662,-82.3482254
Lane_3,29.6486609,-82.3481851
Lane_3,29.6486609,-82.3481476
Lane_3,29.6486597,-82.3481073
Lane_3,29.6486585,-82.3480684
Lane_3,29.6486574,-82.3480282
Lane_3,29.6486562,-82.347988
Lane_3,29.6486562,-82.3479504
Lane_3,29.6486574,-82.3479129
Lane_3,29.6486574,-82.34787
Lane_3,29.648655,-82.3478324
Lane_3,29.6486539,-82.3477962
Lane_3,29.6486539,-82.3477573
Lane_3,29.6486516,-82.3477198
Lane_3,29.6486527,-82.3476782
Lane_3,29.6486539,-82.3476473
Lane_6,29.6486481,-82.3495209
Lane_6,29.6486457,-82.349494
Lane_6,29.6486481,-82.3494592
Lane_6,29.6486492,-82.3494216
Lane_6,29.6486492,-82.3493827
Lane_6,29.6486527,-82.3493371
Lane_6,29.6486527,-82.3492929
Lane_6,29.6486539,-82.3492433
Lane_6,29.6486527,-82.3491668
Lane_6,29.6486504,-82.3491239
Lane_6,29.6486527,-82.3490595
Lane_6,29.6486516,-82.3490153
