name,latitude,longitude,orientation
Lane_3.0,29.6486993,-82.3492635,90
Lane_3.1,29.6486912,-82.3476327,-
Lane_3.2,29.648644,-82.3476314,-
Lane_3.3,29.6486696,-82.3492636,-
Lane_6.0,29.6486622,-82.3492616,90
Lane_6.1,29.6486529,-82.3490068,-
Lane_6.3,29.6486436,-82.3492603,-
Lane_5.0,29.6482517,-82.3497017,0
Lane_5.1,29.6482529,-82.3496561,-
Lane_5.2,29.6471386,-82.3497042,-
Lane_5.3,29.6471398,-82.349676,-
Lane_0.0,29.6482482,-82.349719,0
Lane_0.1,29.6482448,-82.3497016,-
Lane_0.2,29.6481725,-82.3497083,-
Lane_0.3,29.6481725,-82.3497083,-
Lane_1.0,29.6488813,-82.3497385,199
Lane_1.1,29.6492406,-82.3498913,-
Lane_1.2,29.6492255,-82.3499343,-
Lane_1.3,29.648884,-82.34978,-
