Latitude,Longitude
29.6418365,-82.322056
29.6418405,-82.3220518
29.6418445,-82.3220478
29.6418485,-82.3220436
29.6418532,-82.3220387
29.6418579,-82.322034
29.641862,-82.3220298
29.6418665,-82.3220252
29.6418698,-82.3220216
29.6418747,-82.3220169
29.6418794,-82.3220121
29.6418834,-82.3220081
29.6418881,-82.3220032
29.6418921,-82.321999
29.6418963,-82.321995
29.641901,-82.3219901
29.641905,-82.3219861
29.6419096,-82.3219812
29.6419136,-82.321977
29.6419184,-82.3219723
29.6419225,-82.3219682
29.6419265,-82.321964
29.6419312,-82.3219591
29.6419352,-82.3219551
29.6419399,-82.3219502
29.6419446,-82.3219454
29.641948,-82.3219418
29.6419526,-82.321937
29.6419567,-82.3219329
29.6419614,-82.3219281
29.6419661,-82.3219231
29.6419701,-82.321919
29.6419741,-82.3219148
29.6419781,-82.3219107
29.6419828,-82.3219056
29.6419875,-82.3219008
29.6419915,-82.3218967
29.6419964,-82.3218919
29.6420004,-82.3218877
29.6420044,-82.3218835
29.6420091,-82.3218786
29.6420133,-82.3218744
29.642018,-82.3218696
29.642022,-82.3218656
29.6420269,-82.3218607
29.6420309,-82.3218565
29.642035,-82.3218523
29.6420396,-82.3218476
29.6420437,-82.3218434
29.6420484,-82.3218386
29.6420532,-82.3218337
29.6420566,-82.3218302
29.6420613,-82.3218253
29.642066,-82.3218203
29.64207,-82.3218161
29.6420749,-82.3218112
29.6420789,-82.3218071
29.6420829,-82.3218029
29.6420878,-82.321798
29.6420918,-82.3217938
29.6420966,-82.3217888
29.6421008,-82.3217846
29.6421064,-82.3217789
29.6421097,-82.3217754
29.6421146,-82.3217705
29.6421188,-82.3217663
29.6421235,-82.3217613
29.6421283,-82.3217564
29.6421325,-82.3217522
29.6421372,-82.3217472
29.6421407,-82.3217439
29.6421456,-82.3217388
29.6421503,-82.321734
29.6421545,-82.3217298
29.6421592,-82.3217249
29.6421627,-82.3217214
29.6421674,-82.3217165
29.6421723,-82.3217117
29.6421763,-82.3217075
29.6421811,-82.3217024
29.6421858,-82.3216976
29.6421899,-82.3216934
29.642194,-82.3216894
29.6421981,-82.3216852
29.6422029,-82.3216803
29.6422076,-82.3216755
29.6422116,-82.3216713
29.6422163,-82.3216664
29.6422199,-82.3216631
29.6422246,-82.3216582
29.6422292,-82.3216533
29.6422333,-82.3216493
29.642238,-82.3216444
29.6422422,-82.3216404
29.642246,-82.3216362
29.6422507,-82.3216315
29.6422547,-82.3216275
29.6422594,-82.3216227
29.6422634,-82.3216186
29.642268,-82.3216139
29.642272,-82.3216099
29.6422759,-82.3216059
29.6422805,-82.3216012
29.6422844,-82.3215973
29.6422889,-82.3215926
29.6422935,-82.3215881
29.6422966,-82.3215848
29.642301,-82.3215802
29.6423055,-82.3215757
29.6423094,-82.3215719
29.6423137,-82.3215673
29.6423174,-82.3215635
29.642322,-82.3215591
29.6423256,-82.3215553
29.6423293,-82.3215514
29.6423337,-82.321547
29.6423379,-82.3215427
29.6423416,-82.321539
29.6423458,-82.3215346
29.6423494,-82.321531
29.642353,-82.3215273
29.6423572,-82.3215231
29.6423608,-82.3215194
29.6423649,-82.3215152
29.6423689,-82.321511
29.6423719,-82.321508
29.6423759,-82.321504
29.6423793,-82.3215004
29.6423833,-82.3214963
29.6423872,-82.3214922
29.6423912,-82.3214882
29.642394,-82.3214855
29.6423979,-82.3214815
29.6424011,-82.3214781
29.6424049,-82.3214743
29.6424081,-82.3214709
29.6424118,-82.3214671
29.642415,-82.3214639
29.6424182,-82.3214605
29.6424219,-82.3214569
29.642425,-82.3214537
29.6424286,-82.32145
29.6424321,-82.3214463
29.6424346,-82.3214438
29.6424381,-82.3214403
29.642441,-82.3214371
29.6424445,-82.3214337
29.6424478,-82.3214302
29.6424507,-82.3214274
29.6424534,-82.3214243
29.6424567,-82.3214212
29.6424594,-82.3214183
