Latitude, Longitude
29.6418093,-82.3221521
29.6418122,-82.3221557
29.6418155,-82.3221599
29.6418184,-82.3221635
29.6418216,-82.3221678
29.6418244,-82.3221713
29.6418278,-82.3221755
29.6418304,-82.322179
29.6418336,-82.3221832
29.6418365,-82.3221868
29.6418397,-82.3221909
29.6418425,-82.3221945
29.6418457,-82.3221983
29.6418484,-82.3222018
29.6418511,-82.3222052
29.6418541,-82.3222092
29.6418571,-82.3222131
29.6418598,-82.3222164
29.6418628,-82.3222204
29.6418651,-82.3222231
29.6418682,-82.3222272
29.6418712,-82.322231
29.6418737,-82.3222342
29.6418767,-82.3222381
29.6418792,-82.3222412
29.6418817,-82.3222444
29.6418846,-82.3222481
29.6418871,-82.3222513
29.6418899,-82.322255
29.6418925,-82.3222582
29.6418951,-82.3222619
29.6418977,-82.3222649
29.6419,-82.3222681
29.6419027,-82.3222716
29.641905,-82.3222746
29.6419077,-82.3222781
29.6419104,-82.3222815
29.6419126,-82.3222843
29.6419149,-82.3222873
29.6419174,-82.3222907
29.6419196,-82.3222934
29.6419221,-82.3222966
29.6419241,-82.3222994
29.6419265,-82.3223024
29.6419285,-82.3223051
29.6419305,-82.3223078
29.6419329,-82.3223106
29.6419347,-82.3223132
29.6419371,-82.322316
29.6419391,-82.3223189
29.6419406,-82.3223207
29.6419426,-82.3223234
29.6419443,-82.3223256
29.6419463,-82.3223281
29.641948,-82.3223304
29.6419496,-82.3223324
29.641951,-82.3223344
29.6419525,-82.3223361
29.641954,-82.3223383
29.6419555,-82.3223403
29.6419567,-82.3223418
29.641958,-82.3223435
29.6419588,-82.3223447
29.6419602,-82.3223463
29.6419612,-82.3223479
29.6419622,-82.322349
29.6419632,-82.3223504
29.641964,-82.3223515
29.6419647,-82.3223524
29.6419656,-82.3223534
29.6419662,-82.3223544
29.6419667,-82.3223551
29.6419674,-82.3223559
29.6419679,-82.3223566
29.6419682,-82.3223571
29.6419686,-82.3223574
29.6419689,-82.3223579
29.6419691,-82.3223582
29.6419692,-82.3223584
29.6419694,-82.3223586
29.6419694,-82.3223587
29.6419696,-82.3223589
29.6419697,-82.3223589
