vehicleVIN,sc,flow code,AV Ratio,Detection Range,lane,type,arrival time,L,maxAcc,maxDec,dest,curSpd,desSpd,dist,count,total count,green phase,departure time
1000,1,1,0,525,1,1,0.7,4.8,2,-6,3,13.4793,14.4441,240,1,1,4,112.02
1001,1,1,0,525,2,1,1.9,4.8,2,-6,2,15.1045,15,300,1,2,4,56.02
1002,1,1,0,525,3,1,2.98,4.8,2,-6,3,14.7637,14.7807,80,2,3,4,116.14
1003,1,1,0,525,4,1,4.32,4.8,2,-6,1,14.377,14.7819,100,1,4,4,112.06
1004,1,1,0,525,3,1,4.6,4.8,2,-6,2,14.7273,14.8368,80,1,5,4,39.32
1005,1,1,0,525,2,1,5.78,4.8,2,-6,2,14.443,14.7927,300,2,6,4,60.08
1006,1,1,0,525,1,1,5.84,4.8,2,-6,2,15.1507,15,240,2,7,4,41.98
1007,1,1,0,525,4,1,6.16,4.8,2,-6,1,15.4686,15,100,1,8,4,56.04
1008,1,1,0,525,1,1,6.3,4.8,2,-6,3,14.5573,14.7168,240,1,9,4,41.38
1009,1,1,0,525,3,1,6.88,4.8,2,-6,2,15.3169,15,80,1,10,4,84.04
1010,1,1,0,525,2,1,7.26,4.8,2,-6,2,15.179,15,300,1,11,4,112.02
1011,1,1,0,525,4,1,7.96,4.8,2,-6,1,14.1277,14.4721,100,1,12,4,42.72
1012,1,1,0,525,2,1,10.7,4.8,2,-6,2,14.5939,14.8002,300,3,13,4,64.08
1013,1,1,0,525,3,1,11.1,4.8,2,-6,1,15.5219,15,80,1,14,4,84.08
1014,1,1,0,525,4,1,11.72,4.8,2,-6,3,15.3357,15,100,1,15,4,84.02
1015,1,1,0,525,1,1,12.22,4.8,2,-6,1,14.3982,14.6388,240,2,16,4,88.08
1016,1,1,0,525,2,1,12.46,4.8,2,-6,3,15.3831,15,300,2,17,4,88.08
1017,1,1,0,525,3,1,12.62,4.8,2,-6,1,14.0412,14.1569,80,2,18,4,47.38
1018,1,1,0,525,4,1,12.84,4.8,2,-6,3,15.6069,15,100,2,19,4,47.92
