vehicleVIN,sc,flow code,AV Ratio,Detection Range,lane,type,arrival time,L,maxAcc,maxDec,dest,curSpd,desSpd,dist,count,total count,green phase,departure time
1000,1,1,0,92,0,1,0.7,4.8,2,-6,3,6.4793,6.7,73,1,1,4,112.02
1001,1,1,0,92,1,1,2.9,4.8,2,-6,2,6.1045,6.7,91.5,1,2,4,56.02
1002,1,1,0,92,2,1,3.98,4.8,2,-6,3,6.7637,6.7,24,2,3,4,116.14
1003,1,1,0,92,3,1,6.32,4.8,2,-6,1,5.377,6.7,30.5,1,4,4,112.06
1004,1,1,0,92,2,1,8.6,4.8,2,-6,2,6.7273,6.7,24,1,5,4,39.32
1005,1,1,0,92,1,1,9.78,4.8,2,-6,2,6.443,6.7,91.5,2,6,4,60.08
1006,1,1,0,92,0,1,11.84,4.8,2,-6,2,6.1507,6.7,73,2,7,4,41.98
1007,1,1,0,92,3,1,14.16,4.8,2,-6,1,6.4686,6.7,30.5,1,8,4,56.04
1008,1,1,0,92,0,1,16.3,4.8,2,-6,3,5.5573,6.7,73,1,9,4,41.38
1009,1,1,0,92,2,1,16.88,4.8,2,-6,2,5.3169,6.7,24,1,10,4,84.04
