name,latitude,longitude,orientation
Lane_2.0,29.6420169,-82.3219036,137
Lane_2.1,29.6424674,-82.3214296,-
Lane_2.2,29.6424283,-82.3213773,-
Lane_2.3,29.6419738,-82.3218474,-
Lane_4.0,29.6416032,-82.3218521,47.5
Lane_4.1,29.641498,-82.321701,-
Lane_4.2,29.6414467,-82.3217574,-
Lane_4.3,29.6415598,-82.3219049,-
Lane_1.0,29.6415661,-82.3222957,317
Lane_1.1,29.6412677,-82.3226162,-
Lane_1.2,29.641319,-82.3226773,-
Lane_1.3,29.6416256,-82.3223655,-
Lane_3.0,29.641893,-82.3223296,34.5
Lane_3.1,29.6419536,-82.3224127,-
Lane_3.2,29.6420067,-82.3223511,-
Lane_3.3,29.6419484,-82.3222585,-
